1,280636.2216,280636.2669,0.0453099
2,280636.2771,280636.2781,0.00094542
3,280636.2883,280636.2891,0.00084318
4,280636.2993,280636.3001,0.00078042
5,280636.3102,280636.311,0.00073552
6,280636.3211,280636.3219,0.00072651
7,280636.332,280636.3328,0.00072276
8,280636.3429,280636.3437,0.00078552
9,280636.3539,280636.3547,0.00086271
10,280636.3649,280636.3657,0.00081412
11,280636.3759,280636.3768,0.00089672
12,280636.3869,280636.3878,0.0008363
13,280636.3979,280636.3987,0.00070792
14,280636.4088,280636.4096,0.00081052
15,280636.4198,280636.4206,0.00075953
16,280636.4307,280636.4315,0.00076036
17,280636.4417,280636.4424,0.00070553
18,280636.4526,280636.4536,0.00099156
19,280636.4638,280636.4646,0.00085823
20,280636.4748,280636.4762,0.00136073
21,280636.4864,280636.4881,0.00164375
22,280636.4983,280636.4997,0.00138078
23,280636.5099,280636.5112,0.00130146
24,280636.5215,280636.5229,0.00142901
25,280636.5331,280636.5347,0.00152396
26,280636.5449,280636.5467,0.00172495
27,280636.5568,280636.558,0.00114708
28,280636.5684,280636.5708,0.00241334
29,280636.5811,280636.5827,0.00169151
30,280636.593,280636.5948,0.00175666
31,280636.6051,280636.6068,0.00173041
32,280636.6171,280636.6191,0.00200615
33,280636.6294,280636.6312,0.00180657
34,280636.6414,280636.6435,0.00204443
35,280636.6537,280636.6552,0.00151698
36,280636.6655,280636.6671,0.00158183
37,280636.6773,280636.679,0.0017101
38,280636.6893,280636.6912,0.00190391
39,280636.7015,280636.7031,0.00165219
40,280636.7134,280636.7155,0.00204734
41,280636.7257,280636.7272,0.00150156
42,280636.7375,280636.7395,0.00195261
43,280636.7497,280636.7513,0.00156833
44,280636.7616,280636.7633,0.0017813
45,280636.7737,280636.7752,0.00149333
46,280636.7855,280636.7872,0.00175286
47,280636.7975,280636.7991,0.00163339
48,280636.8094,280636.8111,0.00175745
49,280636.8214,280636.823,0.00163797